iter	Passed	Remaining
628	8886	5241
629	8900	5227
630	8915	5213
631	8931	5200
632	8947	5187
633	8961	5173
634	8976	5159
635	8990	5145
636	9004	5131
637	9019	5117
638	9034	5104
639	9051	5091
640	9064	5076
641	9079	5062
642	9093	5049
643	9108	5035
644	9124	5022
645	9141	5009
646	9157	4996
647	9172	4982
648	9188	4969
649	9204	4956
650	9219	4942
651	9232	4927
652	9247	4913
653	9260	4899
654	9274	4885
655	9287	4870
656	9300	4855
657	9314	4841
658	9329	4827
659	9344	4813
660	9357	4799
661	9372	4785
662	9385	4770
663	9398	4756
664	9412	4741
665	9425	4726
666	9439	4712
667	9454	4698
668	9466	4683
669	9479	4669
670	9495	4655
671	9509	4641
672	9531	4630
673	9546	4617
674	9560	4603
675	9575	4589
676	9588	4574
677	9602	4560
678	9615	4545
679	9630	4531
680	9645	4518
681	9659	4503
682	9673	4489
683	9687	4475
684	9701	4461
685	9715	4446
686	9728	4432
687	9742	4418
688	9757	4404
689	9770	4389
690	9785	4375
691	9798	4361
692	9813	4347
693	9826	4332
694	9840	4318
695	9855	4304
696	9870	4291
697	9886	4277
698	9901	4263
699	9917	4250
700	9931	4236
701	9946	4222
702	9961	4208
703	9976	4194
704	9990	4180
705	10003	4165
706	10018	4151
707	10031	4137
708	10046	4123
709	10061	4109
710	10076	4095
711	10090	4081
712	10105	4067
713	10120	4053
714	10137	4040
715	10151	4026
716	10167	4012
717	10181	3998
718	10196	3984
719	10210	3970
720	10227	3957
721	10241	3943
722	10256	3929
723	10271	3915
724	10288	3902
725	10303	3888
726	10317	3874
727	10333	3860
728	10346	3846
729	10360	3832
730	10374	3817
731	10391	3804
732	10405	3790
733	10419	3775
734	10434	3761
735	10449	3748
736	10462	3733
737	10475	3719
738	10490	3705
739	10505	3691
740	10517	3676
741	10532	3662
742	10547	3648
743	10560	3633
744	10574	3619
745	10588	3605
746	10602	3590
747	10616	3576
748	10630	3562
749	10646	3548
750	10660	3534
751	10676	3520
752	10698	3509
753	10716	3496
754	10734	3483
755	10751	3470
756	10768	3456
757	10783	3442
758	10799	3429
759	10815	3415
760	10832	3402
761	10851	3389
762	10871	3376
763	10892	3364
764	10910	3351
765	10929	3338
766	10946	3325
767	10959	3310
768	10974	3296
769	10988	3282
770	11002	3267
771	11016	3253
772	11030	3239
773	11044	3224
774	11057	3210
775	11071	3195
776	11086	3181
777	11100	3167
778	11113	3152
779	11127	3138
780	11141	3124
781	11155	3109
782	11170	3095
783	11185	3081
784	11200	3067
785	11214	3053
786	11230	3039
787	11244	3025
788	11258	3010
789	11272	2996
790	11287	2982
791	11302	2968
792	11316	2954
793	11331	2939
794	11344	2925
795	11359	2911
796	11373	2896
797	11389	2882
798	11402	2868
799	11416	2854
800	11430	2839
801	11444	2825
802	11458	2811
803	11473	2796
804	11488	2782
805	11501	2768
806	11515	2753
807	11527	2739
808	11542	2725
809	11556	2710
810	11570	2696
811	11584	2682
812	11598	2667
813	11612	2653
814	11627	2639
815	11643	2625
816	11655	2610
817	11671	2596
818	11685	2582
819	11699	2568
820	11712	2553
821	11727	2539
822	11742	2525
823	11758	2511
824	11773	2497
825	11791	2483
826	11810	2470
827	11827	2456
828	11844	2443
829	11857	2428
830	11873	2414
831	11889	2400
832	11905	2386
833	11921	2372
834	11936	2358
835	11951	2344
836	11968	2330
837	11984	2316
838	11999	2302
839	12015	2288
840	12033	2275
841	12048	2260
842	12061	2246
843	12076	2232
844	12094	2218
845	12109	2204
846	12125	2190
847	12140	2176
848	12156	2162
849	12169	2147
850	12184	2133
851	12199	2119
852	12214	2104
853	12227	2090
854	12243	2076
855	12257	2061
856	12272	2047
857	12286	2033
858	12298	2018
859	12312	2004
860	12326	1989
861	12340	1975
862	12355	1961
863	12369	1947
864	12384	1932
865	12400	1918
866	12416	1904
867	12433	1890
868	12453	1877
869	12468	1863
870	12485	1849
871	12501	1835
872	12519	1821
873	12533	1806
874	12551	1793
875	12568	1779
876	12583	1764
877	12599	1750
878	12613	1736
879	12631	1722
880	12644	1707
881	12659	1693
882	12675	1679
883	12689	1665
884	12704	1650
885	12716	1636
886	12730	1621
887	12743	1607
888	12757	1592
889	12770	1578
890	12784	1564
891	12801	1549
892	12815	1535
893	12828	1521
894	12843	1506
895	12858	1492
896	12876	1478
897	12890	1464
898	12907	1450
899	12920	1435
900	12933	1421
901	12949	1406
902	12962	1392
903	12976	1378
904	12990	1363
905	13003	1349
906	13016	1334
907	13029	1320
908	13043	1305
909	13057	1291
910	13072	1277
911	13086	1262
912	13100	1248
913	13114	1233
914	13128	1219
915	13142	1205
916	13157	1190
917	13170	1176
918	13185	1162
919	13197	1147
920	13211	1133
921	13226	1118
922	13239	1104
923	13253	1090
924	13265	1075
925	13280	1061
926	13292	1046
927	13305	1032
928	13320	1018
929	13334	1003
